"r_5%" "p_5%" "r_50%" "p_50%" "r_95%" "p_95%" "r_ESS" "p_ESS"
"1" 0.011 0.012 0.012 57 0.012 0.013 0.015 54
"2" 0.12 0.13 0.15 170 0.0024 0.0028 0.0034 130
"3" 0.28 0.32 0.37 360 0.0057 0.0071 0.009 350
"4" 0.15 0.17 0.19 480 0.0017 0.0023 0.0031 370
"5" 0.069 0.086 0.11 460 0.014 0.02 0.029 530
"6" 0.07 0.082 0.1 220 0.0053 0.0073 0.0099 280
"7" 0.092 0.11 0.14 540 0.0053 0.0082 0.011 530
"8" 0.1 0.12 0.14 140 0.0049 0.0062 0.0082 240
"9" 0.24 0.46 0.7 500 0.017 0.039 0.064 560
"10" 0.002 0.0043 0.02 330 0.00097 0.012 0.04 180
